Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-07-17 00:00:00-04:00,229.4499969482422,231.4600067138672,226.63999938964844,228.8800048828125,228.61538696289062,57345900,0.0,0.0,2024-08-18,1mo,1d
2024-07-18 00:00:00-04:00,230.27999877929688,230.44000244140625,222.27000427246094,224.17999267578125,223.92080688476562,66034600,0.0,0.0,2024-08-18,1mo,1d
2024-07-19 00:00:00-04:00,224.82000732421875,226.8000030517578,223.27999877929688,224.30999755859375,224.0506591796875,49151500,0.0,0.0,2024-08-18,1mo,1d
2024-07-22 00:00:00-04:00,227.00999450683594,227.77999877929688,223.08999633789062,223.9600067138672,223.70108032226562,48201800,0.0,0.0,2024-08-18,1mo,1d
2024-07-23 00:00:00-04:00,224.3699951171875,226.94000244140625,222.67999267578125,225.00999450683594,224.74984741210938,39960300,0.0,0.0,2024-08-18,1mo,1d
2024-07-24 00:00:00-04:00,224.0,224.8000030517578,217.1300048828125,218.5399932861328,218.28732299804688,61777600,0.0,0.0,2024-08-18,1mo,1d
2024-07-25 00:00:00-04:00,218.92999267578125,220.85000610351562,214.6199951171875,217.49000549316406,217.23855590820312,51391200,0.0,0.0,2024-08-18,1mo,1d
2024-07-26 00:00:00-04:00,218.6999969482422,219.49000549316406,216.00999450683594,217.9600067138672,217.7080078125,41601300,0.0,0.0,2024-08-18,1mo,1d
2024-07-29 00:00:00-04:00,216.9600067138672,219.3000030517578,215.75,218.24000549316406,217.98768615722656,36311800,0.0,0.0,2024-08-18,1mo,1d
2024-07-30 00:00:00-04:00,219.19000244140625,220.3300018310547,216.1199951171875,218.8000030517578,218.5470428466797,41643800,0.0,0.0,2024-08-18,1mo,1d
2024-07-31 00:00:00-04:00,221.44000244140625,223.82000732421875,220.6300048828125,222.0800018310547,221.8232421875,50036300,0.0,0.0,2024-08-18,1mo,1d
2024-08-01 00:00:00-04:00,224.3699951171875,224.47999572753906,217.02000427246094,218.36000061035156,218.1075439453125,62501000,0.0,0.0,2024-08-18,1mo,1d
2024-08-02 00:00:00-04:00,219.14999389648438,225.60000610351562,217.7100067138672,219.86000061035156,219.60580444335938,105568600,0.0,0.0,2024-08-18,1mo,1d
2024-08-05 00:00:00-04:00,199.08999633789062,213.5,196.0,209.27000427246094,209.02806091308594,119548600,0.0,0.0,2024-08-18,1mo,1d
2024-08-06 00:00:00-04:00,205.3000030517578,209.99000549316406,201.07000732421875,207.22999572753906,206.9904022216797,69660500,0.0,0.0,2024-08-18,1mo,1d
2024-08-07 00:00:00-04:00,206.89999389648438,213.63999938964844,206.38999938964844,209.82000732421875,209.57742309570312,63516400,0.0,0.0,2024-08-18,1mo,1d
2024-08-08 00:00:00-04:00,213.11000061035156,214.1999969482422,208.8300018310547,213.30999755859375,213.06338500976562,47161100,0.0,0.0,2024-08-18,1mo,1d
2024-08-09 00:00:00-04:00,212.10000610351562,216.77999877929688,211.97000122070312,216.24000549316406,215.99000549316406,42201600,0.0,0.0,2024-08-18,1mo,1d
2024-08-12 00:00:00-04:00,216.07000732421875,219.50999450683594,215.60000610351562,217.52999877929688,217.52999877929688,38028100,0.25,0.0,2024-08-18,1mo,1d
2024-08-13 00:00:00-04:00,219.00999450683594,221.88999938964844,219.00999450683594,221.27000427246094,221.27000427246094,44155300,0.0,0.0,2024-08-18,1mo,1d
2024-08-14 00:00:00-04:00,220.57000732421875,223.02999877929688,219.6999969482422,221.72000122070312,221.72000122070312,41960600,0.0,0.0,2024-08-18,1mo,1d
2024-08-15 00:00:00-04:00,224.60000610351562,225.35000610351562,222.75999450683594,224.72000122070312,224.72000122070312,46414000,0.0,0.0,2024-08-18,1mo,1d
2024-08-16 00:00:00-04:00,223.9199981689453,226.8300018310547,223.64999389648438,226.0500030517578,226.0500030517578,44289900,0.0,0.0,2024-08-18,1mo,1d
