Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-07-17 00:00:00-04:00,650.0,650.4500122070312,639.469970703125,647.4600219726562,647.4600219726562,4017300,0.0,0.0,2024-08-18,1mo,1d
2024-07-18 00:00:00-04:00,656.5999755859375,657.0399780273438,639.1699829101562,643.0399780273438,643.0399780273438,7575800,0.0,0.0,2024-08-18,1mo,1d
2024-07-19 00:00:00-04:00,660.6400146484375,678.969970703125,629.1199951171875,633.3400268554688,633.3400268554688,9815600,0.0,0.0,2024-08-18,1mo,1d
2024-07-22 00:00:00-04:00,639.5,656.2899780273438,632.5999755859375,647.5,647.5,5219100,0.0,0.0,2024-08-18,1mo,1d
2024-07-23 00:00:00-04:00,647.5,649.9099731445312,641.0,642.760009765625,642.760009765625,2463600,0.0,0.0,2024-08-18,1mo,1d
2024-07-24 00:00:00-04:00,635.739990234375,652.4199829101562,632.6699829101562,635.989990234375,635.989990234375,4888200,0.0,0.0,2024-08-18,1mo,1d
2024-07-25 00:00:00-04:00,641.0,649.97998046875,621.7000122070312,634.0900268554688,634.0900268554688,4554500,0.0,0.0,2024-08-18,1mo,1d
2024-07-26 00:00:00-04:00,645.0,646.989990234375,629.77001953125,631.3699951171875,631.3699951171875,3120700,0.0,0.0,2024-08-18,1mo,1d
2024-07-29 00:00:00-04:00,634.6099853515625,634.6099853515625,623.9299926757812,626.9600219726562,626.9600219726562,2400500,0.0,0.0,2024-08-18,1mo,1d
2024-07-30 00:00:00-04:00,630.1699829101562,634.6900024414062,617.0,622.5800170898438,622.5800170898438,3496600,0.0,0.0,2024-08-18,1mo,1d
2024-07-31 00:00:00-04:00,626.5700073242188,633.5999755859375,622.5800170898438,628.3499755859375,628.3499755859375,3134900,0.0,0.0,2024-08-18,1mo,1d
2024-08-01 00:00:00-04:00,629.25,646.7100219726562,617.6099853515625,624.8499755859375,624.8499755859375,3720600,0.0,0.0,2024-08-18,1mo,1d
2024-08-02 00:00:00-04:00,620.97998046875,625.27001953125,608.3499755859375,613.6400146484375,613.6400146484375,3523000,0.0,0.0,2024-08-18,1mo,1d
2024-08-05 00:00:00-04:00,587.0399780273438,604.5599975585938,587.0399780273438,598.5499877929688,598.5499877929688,4044200,0.0,0.0,2024-08-18,1mo,1d
2024-08-06 00:00:00-04:00,600.6199951171875,622.4500122070312,600.6199951171875,609.5700073242188,609.5700073242188,4319100,0.0,0.0,2024-08-18,1mo,1d
2024-08-07 00:00:00-04:00,616.0700073242188,632.0,610.6400146484375,611.47998046875,611.47998046875,3187800,0.0,0.0,2024-08-18,1mo,1d
2024-08-08 00:00:00-04:00,621.989990234375,632.2899780273438,616.02001953125,630.3499755859375,630.3499755859375,3283500,0.0,0.0,2024-08-18,1mo,1d
2024-08-09 00:00:00-04:00,622.989990234375,636.6199951171875,622.989990234375,633.9400024414062,633.9400024414062,1980800,0.0,0.0,2024-08-18,1mo,1d
2024-08-12 00:00:00-04:00,631.0,639.0,627.0700073242188,633.1400146484375,633.1400146484375,2331700,0.0,0.0,2024-08-18,1mo,1d
2024-08-13 00:00:00-04:00,638.5599975585938,650.969970703125,635.5,648.02001953125,648.02001953125,2639600,0.0,0.0,2024-08-18,1mo,1d
2024-08-14 00:00:00-04:00,648.7000122070312,663.5700073242188,648.7000122070312,661.6799926757812,661.6799926757812,4014300,0.0,0.0,2024-08-18,1mo,1d
2024-08-15 00:00:00-04:00,668.489990234375,673.1900024414062,659.7999877929688,663.219970703125,663.219970703125,3210200,0.0,0.0,2024-08-18,1mo,1d
2024-08-16 00:00:00-04:00,669.4299926757812,680.22998046875,665.3599853515625,674.0700073242188,674.0700073242188,3508400,0.0,0.0,2024-08-18,1mo,1d
