Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2023-08-17 00:00:00-04:00,135.4600067138672,136.08999633789062,133.52999877929688,133.97999572753906,133.97999572753906,48354100,0.0,0.0,2024-08-18,1y,5d
2023-08-22 00:00:00-04:00,135.0800018310547,135.64999389648438,133.72999572753906,134.25,134.25,32935100,0.0,0.0,2024-08-18,1y,5d
2023-09-01 00:00:00-04:00,139.4600067138672,139.9600067138672,136.8800048828125,138.1199951171875,138.1199951171875,40948300,0.0,0.0,2024-08-18,1y,5d
2023-09-06 00:00:00-04:00,136.32000732421875,137.4499969482422,134.61000061035156,135.36000061035156,135.36000061035156,41785500,0.0,0.0,2024-08-18,1y,5d
2023-09-11 00:00:00-04:00,138.75,143.6199951171875,138.63999938964844,143.10000610351562,143.10000610351562,56764500,0.0,0.0,2024-08-18,1y,5d
2023-09-21 00:00:00-04:00,131.94000244140625,132.24000549316406,129.30999755859375,129.3300018310547,129.3300018310547,70234800,0.0,0.0,2024-08-18,1y,5d
2023-09-26 00:00:00-04:00,130.1199951171875,130.38999938964844,125.27999877929688,125.9800033569336,125.9800033569336,73048200,0.0,0.0,2024-08-18,1y,5d
2023-10-06 00:00:00-04:00,124.16000366210938,128.4499969482422,124.12999725341797,127.95999908447266,127.95999908447266,46795900,0.0,0.0,2024-08-18,1y,5d
2023-10-11 00:00:00-04:00,129.74000549316406,132.0500030517578,129.61000061035156,131.8300018310547,131.8300018310547,40741800,0.0,0.0,2024-08-18,1y,5d
2023-10-16 00:00:00-04:00,130.69000244140625,133.07000732421875,130.42999267578125,132.5500030517578,132.5500030517578,42832900,0.0,0.0,2024-08-18,1y,5d
2023-10-26 00:00:00-04:00,120.62999725341797,121.63999938964844,118.3499984741211,119.56999969482422,119.56999969482422,100419500,0.0,0.0,2024-08-18,1y,5d
2023-10-31 00:00:00-04:00,132.75,133.57000732421875,131.7100067138672,133.08999633789062,133.08999633789062,51589400,0.0,0.0,2024-08-18,1y,5d
2023-11-10 00:00:00-05:00,140.4600067138672,143.64999389648438,139.91000366210938,143.55999755859375,143.55999755859375,49287800,0.0,0.0,2024-08-18,1y,5d
2023-11-15 00:00:00-05:00,147.05999755859375,147.2899932861328,142.58999633789062,143.1999969482422,143.1999969482422,63875700,0.0,0.0,2024-08-18,1y,5d
2023-11-20 00:00:00-05:00,145.1300048828125,146.6300048828125,144.72999572753906,146.1300048828125,146.1300048828125,41951200,0.0,0.0,2024-08-18,1y,5d
2023-11-30 00:00:00-05:00,144.75999450683594,146.92999267578125,144.3300018310547,146.08999633789062,146.08999633789062,65814000,0.0,0.0,2024-08-18,1y,5d
2023-12-05 00:00:00-05:00,143.5500030517578,148.57000732421875,143.1300048828125,146.8800048828125,146.8800048828125,46822400,0.0,0.0,2024-08-18,1y,5d
2023-12-15 00:00:00-05:00,148.3800048828125,150.57000732421875,147.8800048828125,149.97000122070312,149.97000122070312,110039100,0.0,0.0,2024-08-18,1y,5d
2023-12-20 00:00:00-05:00,152.89999389648438,155.6300048828125,151.55999755859375,152.1199951171875,152.1199951171875,50322100,0.0,0.0,2024-08-18,1y,5d
2024-01-04 00:00:00-05:00,145.58999633789062,147.3800048828125,144.0500030517578,144.57000732421875,144.57000732421875,56039800,0.0,0.0,2024-08-18,1y,5d
2024-01-09 00:00:00-05:00,148.3300018310547,151.7100067138672,148.2100067138672,151.3699951171875,151.3699951171875,43812600,0.0,0.0,2024-08-18,1y,5d
2024-01-19 00:00:00-05:00,153.8300018310547,155.75999450683594,152.74000549316406,155.33999633789062,155.33999633789062,51033700,0.0,0.0,2024-08-18,1y,5d
2024-01-24 00:00:00-05:00,157.8000030517578,158.50999450683594,156.47999572753906,156.8699951171875,156.8699951171875,48547300,0.0,0.0,2024-08-18,1y,5d
2024-01-29 00:00:00-05:00,159.33999633789062,161.2899932861328,158.89999389648438,161.25999450683594,161.25999450683594,45270400,0.0,0.0,2024-08-18,1y,5d
2024-02-08 00:00:00-05:00,169.64999389648438,171.42999267578125,168.8800048828125,169.83999633789062,169.83999633789062,42316500,0.0,0.0,2024-08-18,1y,5d
2024-02-13 00:00:00-05:00,167.72999572753906,170.9499969482422,165.75,168.63999938964844,168.63999938964844,56345100,0.0,0.0,2024-08-18,1y,5d
2024-02-23 00:00:00-05:00,174.27999877929688,175.75,173.6999969482422,174.99000549316406,174.99000549316406,59715200,0.0,0.0,2024-08-18,1y,5d
2024-02-28 00:00:00-05:00,172.44000244140625,174.0500030517578,172.27000427246094,173.16000366210938,173.16000366210938,28180500,0.0,0.0,2024-08-18,1y,5d
2024-03-04 00:00:00-05:00,177.52999877929688,180.13999938964844,177.49000549316406,177.5800018310547,177.5800018310547,37381500,0.0,0.0,2024-08-18,1y,5d
2024-03-14 00:00:00-04:00,177.69000244140625,179.52999877929688,176.47000122070312,178.75,178.75,43705800,0.0,0.0,2024-08-18,1y,5d
2024-03-19 00:00:00-04:00,174.22000122070312,176.08999633789062,173.52000427246094,175.89999389648438,175.89999389648438,26880900,0.0,0.0,2024-08-18,1y,5d
2024-04-03 00:00:00-04:00,179.89999389648438,182.8699951171875,179.8000030517578,182.41000366210938,182.41000366210938,31046600,0.0,0.0,2024-08-18,1y,5d
2024-04-08 00:00:00-04:00,186.89999389648438,187.2899932861328,184.80999755859375,185.19000244140625,185.19000244140625,39221300,0.0,0.0,2024-08-18,1y,5d
2024-04-18 00:00:00-04:00,181.47000122070312,182.38999938964844,178.64999389648438,179.22000122070312,179.22000122070312,30723800,0.0,0.0,2024-08-18,1y,5d
2024-04-23 00:00:00-04:00,178.0800018310547,179.92999267578125,175.97999572753906,179.5399932861328,179.5399932861328,37046500,0.0,0.0,2024-08-18,1y,5d
2024-05-03 00:00:00-04:00,186.99000549316406,187.8699951171875,185.4199981689453,186.2100067138672,186.2100067138672,39172000,0.0,0.0,2024-08-18,1y,5d
2024-05-08 00:00:00-04:00,187.44000244140625,188.42999267578125,186.38999938964844,188.0,188.0,26136400,0.0,0.0,2024-08-18,1y,5d
2024-05-13 00:00:00-04:00,188.0,188.30999755859375,185.36000061035156,186.57000732421875,186.57000732421875,24898600,0.0,0.0,2024-08-18,1y,5d
2024-05-23 00:00:00-04:00,183.66000366210938,184.75999450683594,180.0800018310547,181.0500030517578,181.0500030517578,33670200,0.0,0.0,2024-08-18,1y,5d
2024-05-28 00:00:00-04:00,179.92999267578125,182.24000549316406,179.49000549316406,182.14999389648438,182.14999389648438,29927000,0.0,0.0,2024-08-18,1y,5d
2024-06-07 00:00:00-04:00,184.89999389648438,186.2899932861328,183.36000061035156,184.3000030517578,184.3000030517578,28021500,0.0,0.0,2024-08-18,1y,5d
2024-06-12 00:00:00-04:00,188.02000427246094,188.35000610351562,185.42999267578125,186.88999938964844,186.88999938964844,33984200,0.0,0.0,2024-08-18,1y,5d
2024-06-17 00:00:00-04:00,182.52000427246094,185.0,181.22000122070312,184.05999755859375,184.05999755859375,35601900,0.0,0.0,2024-08-18,1y,5d
2024-06-27 00:00:00-04:00,195.00999450683594,199.83999633789062,194.1999969482422,197.85000610351562,197.85000610351562,74397500,0.0,0.0,2024-08-18,1y,5d
2024-07-02 00:00:00-04:00,197.27999877929688,200.42999267578125,195.92999267578125,200.0,200.0,45600000,0.0,0.0,2024-08-18,1y,5d
2024-07-12 00:00:00-04:00,194.8000030517578,196.47000122070312,193.8300018310547,194.49000549316406,194.49000549316406,30598500,0.0,0.0,2024-08-18,1y,5d
2024-07-17 00:00:00-04:00,191.35000610351562,191.5800018310547,185.99000549316406,187.92999267578125,187.92999267578125,48076100,0.0,0.0,2024-08-18,1y,5d
2024-07-22 00:00:00-04:00,185.0,185.05999755859375,182.47999572753906,182.5500030517578,182.5500030517578,39931900,0.0,0.0,2024-08-18,1y,5d
2024-08-01 00:00:00-04:00,189.2899932861328,190.60000610351562,181.8699951171875,184.07000732421875,184.07000732421875,70435600,0.0,0.0,2024-08-18,1y,5d
2024-08-06 00:00:00-04:00,161.7100067138672,165.0800018310547,158.5399932861328,161.92999267578125,161.92999267578125,59950800,0.0,0.0,2024-08-18,1y,5d
2024-08-16 00:00:00-04:00,177.0399932861328,178.33999633789062,176.25999450683594,177.05999755859375,177.05999755859375,31440000,0.0,0.0,2024-08-18,1y,5d
