Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2022-08-17 00:00:00-04:00,289.739990234375,293.3500061035156,289.4700012207031,291.32000732421875,286.38299560546875,18253400,0.62,0.0,2024-08-18,2y,5d
2022-08-22 00:00:00-04:00,282.0799865722656,282.4599914550781,277.2200012207031,277.75,273.04296875,25061100,0.0,0.0,2024-08-18,2y,5d
2022-09-01 00:00:00-04:00,258.8699951171875,260.8900146484375,255.41000366210938,260.3999938964844,255.9869384765625,23263400,0.0,0.0,2024-08-18,2y,5d
2022-09-06 00:00:00-04:00,256.20001220703125,257.8299865722656,251.94000244140625,253.25,248.95811462402344,21328200,0.0,0.0,2024-08-18,2y,5d
2022-09-16 00:00:00-04:00,244.25999450683594,245.3000030517578,242.05999755859375,244.74000549316406,240.59234619140625,39791800,0.0,0.0,2024-08-18,2y,5d
2022-09-21 00:00:00-04:00,244.27000427246094,247.66000366210938,238.89999389648438,238.9499969482422,234.90045166015625,28625600,0.0,0.0,2024-08-18,2y,5d
2022-09-26 00:00:00-04:00,237.0500030517578,241.4499969482422,236.89999389648438,237.4499969482422,233.42588806152344,27694200,0.0,0.0,2024-08-18,2y,5d
2022-10-06 00:00:00-04:00,247.92999267578125,250.33999633789062,246.0800018310547,246.7899932861328,242.60760498046875,20239900,0.0,0.0,2024-08-18,2y,5d
2022-10-11 00:00:00-04:00,227.6199951171875,229.05999755859375,224.11000061035156,225.41000366210938,221.58993530273438,30474000,0.0,0.0,2024-08-18,2y,5d
2022-10-21 00:00:00-04:00,234.74000549316406,243.0,234.5,242.1199951171875,238.0167236328125,26299700,0.0,0.0,2024-08-18,2y,5d
2022-10-26 00:00:00-04:00,231.1699981689453,238.3000030517578,230.05999755859375,231.32000732421875,227.3997802734375,82543200,0.0,0.0,2024-08-18,2y,5d
2022-10-31 00:00:00-04:00,233.75999450683594,234.9199981689453,231.14999389648438,232.1300048828125,228.19602966308594,28357300,0.0,0.0,2024-08-18,2y,5d
2022-11-10 00:00:00-05:00,235.42999267578125,243.3300018310547,235.0,242.97999572753906,238.86216735839844,46268000,0.0,0.0,2024-08-18,2y,5d
2022-11-15 00:00:00-05:00,245.66000366210938,247.0,240.02999877929688,241.97000122070312,237.86929321289062,31390100,0.68,0.0,2024-08-18,2y,5d
2022-11-25 00:00:00-05:00,247.30999755859375,248.6999969482422,246.72999572753906,247.49000549316406,243.98138427734375,9200800,0.0,0.0,2024-08-18,2y,5d
2022-11-30 00:00:00-05:00,240.57000732421875,255.3300018310547,239.86000061035156,255.13999938964844,251.52293395996094,47594200,0.0,0.0,2024-08-18,2y,5d
2022-12-05 00:00:00-05:00,252.00999450683594,253.82000732421875,248.05999755859375,250.1999969482422,246.65298461914062,23435300,0.0,0.0,2024-08-18,2y,5d
2022-12-15 00:00:00-05:00,253.72000122070312,254.1999969482422,247.33999633789062,249.00999450683594,245.47982788085938,35560400,0.0,0.0,2024-08-18,2y,5d
2022-12-20 00:00:00-05:00,239.39999389648438,242.91000366210938,238.4199981689453,241.8000030517578,238.37203979492188,25150800,0.0,0.0,2024-08-18,2y,5d
