Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-05-13 00:00:00-04:00,94.91000366210938,95.81900024414062,91.80599975585938,92.47899627685547,92.47139739990234,683643000,0.0,0.0,2024-08-18,3mo,1wk
2024-05-20 00:00:00-04:00,93.75,106.4749984741211,93.18000030517578,106.46900177001953,106.46025848388672,2460917000,0.0,0.0,2024-08-18,3mo,1wk
2024-05-27 00:00:00-04:00,110.24400329589844,115.81900024414062,106.94000244140625,109.63300323486328,109.6240005493164,2310783000,0.0,0.0,2024-08-18,3mo,1wk
2024-06-03 00:00:00-04:00,113.62100219726562,125.58699798583984,112.00299835205078,120.88800048828125,120.8780746459961,2447200000,0.0,0.0,2024-08-18,3mo,1wk
2024-06-10 00:00:00-04:00,120.37000274658203,132.83999633789062,117.01000213623047,131.8800048828125,131.86917114257812,1406333800,0.01,10.0,2024-08-18,3mo,1wk
2024-06-17 00:00:00-04:00,132.99000549316406,140.75999450683594,124.30000305175781,126.56999969482422,126.56999969482422,1756092600,0.0,0.0,2024-08-18,3mo,1wk
2024-06-24 00:00:00-04:00,123.23999786376953,128.1199951171875,118.04000091552734,123.54000091552734,123.54000091552734,1832912700,0.0,0.0,2024-08-18,3mo,1wk
2024-07-01 00:00:00-04:00,123.47000122070312,128.85000610351562,118.83000183105469,125.83000183105469,125.83000183105469,933185200,0.0,0.0,2024-08-18,3mo,1wk
2024-07-08 00:00:00-04:00,127.48999786376953,136.14999389648438,127.04000091552734,129.24000549316406,129.24000549316406,1399485700,0.0,0.0,2024-08-18,3mo,1wk
2024-07-15 00:00:00-04:00,130.55999755859375,131.38999938964844,116.55999755859375,117.93000030517578,117.93000030517578,1351385200,0.0,0.0,2024-08-18,3mo,1wk
2024-07-22 00:00:00-04:00,120.3499984741211,124.69000244140625,106.30000305175781,113.05999755859375,113.05999755859375,1513222900,0.0,0.0,2024-08-18,3mo,1wk
2024-07-29 00:00:00-04:00,113.69000244140625,120.16000366210938,101.37000274658203,107.2699966430664,107.2699966430664,2213649400,0.0,0.0,2024-08-18,3mo,1wk
2024-08-05 00:00:00-04:00,92.05999755859375,108.80000305175781,90.69000244140625,104.75,104.75,2056049100,0.0,0.0,2024-08-18,3mo,1wk
2024-08-12 00:00:00-04:00,106.31999969482422,125.0,106.26000213623047,124.58000183105469,124.58000183105469,1899968472,0.0,0.0,2024-08-18,3mo,1wk
