Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-05-17 00:00:00-04:00,2.859999895095825,2.869999885559082,2.7100000381469727,2.8399999141693115,2.8399999141693115,28837000,0.0,0.0,2024-08-18,3mo,5d
2024-05-22 00:00:00-04:00,2.809999942779541,2.9100000858306885,2.7799999713897705,2.890000104904175,2.890000104904175,15002800,0.0,0.0,2024-08-18,3mo,5d
2024-06-06 00:00:00-04:00,2.7899999618530273,2.875,2.7699999809265137,2.7899999618530273,2.7899999618530273,20190800,0.0,0.0,2024-08-18,3mo,5d
2024-06-11 00:00:00-04:00,2.7100000381469727,2.7300000190734863,2.6500000953674316,2.6600000858306885,2.6600000858306885,12990300,0.0,0.0,2024-08-18,3mo,5d
2024-06-21 00:00:00-04:00,2.5299999713897705,2.5399999618530273,2.4800000190734863,2.490000009536743,2.490000009536743,20813000,0.0,0.0,2024-08-18,3mo,5d
2024-06-26 00:00:00-04:00,2.5899999141693115,2.690000057220459,2.549999952316284,2.5999999046325684,2.5999999046325684,30850400,0.0,0.0,2024-08-18,3mo,5d
2024-07-01 00:00:00-04:00,2.6500000953674316,2.7100000381469727,2.5999999046325684,2.640000104904175,2.640000104904175,17006700,0.0,0.0,2024-08-18,3mo,5d
2024-07-11 00:00:00-04:00,3.200000047683716,3.494999885559082,3.1600000858306885,3.4000000953674316,3.4000000953674316,61594400,0.0,0.0,2024-08-18,3mo,5d
2024-07-16 00:00:00-04:00,3.7200000286102295,4.050000190734863,3.640000104904175,3.9700000286102295,3.9700000286102295,60714800,0.0,0.0,2024-08-18,3mo,5d
2024-07-26 00:00:00-04:00,3.5399999618530273,3.549999952316284,3.3399999141693115,3.380000114440918,3.380000114440918,27079400,0.0,0.0,2024-08-18,3mo,5d
2024-07-31 00:00:00-04:00,3.490000009536743,3.700000047683716,3.450000047683716,3.5199999809265137,3.5199999809265137,33092400,0.0,0.0,2024-08-18,3mo,5d
2024-08-05 00:00:00-04:00,2.809999942779541,3.0999999046325684,2.799999952316284,3.0,3.0,36083300,0.0,0.0,2024-08-18,3mo,5d
2024-08-15 00:00:00-04:00,3.190000057220459,3.299999952316284,3.119999885559082,3.1500000953674316,3.1500000953674316,48957607,0.0,0.0,2024-08-18,3mo,5d
