Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-08-12 09:30:00-04:00,3.194999933242798,3.200000047683716,3.0199999809265137,3.0350000858306885,3.0350000858306885,7494517,0.0,0.0,2024-08-18,5d,1h
2024-08-12 10:30:00-04:00,3.0299999713897705,3.069999933242798,3.0,3.015000104904175,3.015000104904175,7833358,0.0,0.0,2024-08-18,5d,1h
2024-08-12 11:30:00-04:00,3.015000104904175,3.0199999809265137,2.9600000381469727,2.9649999141693115,2.9649999141693115,5605293,0.0,0.0,2024-08-18,5d,1h
2024-08-12 12:30:00-04:00,2.9649999141693115,2.9800000190734863,2.950000047683716,2.950000047683716,2.950000047683716,5288998,0.0,0.0,2024-08-18,5d,1h
2024-08-12 13:30:00-04:00,2.950000047683716,2.9700000286102295,2.930000066757202,2.9398999214172363,2.9398999214172363,5052671,0.0,0.0,2024-08-18,5d,1h
2024-08-12 14:30:00-04:00,2.930000066757202,2.940000057220459,2.9000000953674316,2.9198999404907227,2.9198999404907227,5982566,0.0,0.0,2024-08-18,5d,1h
2024-08-12 15:30:00-04:00,2.915800094604492,2.930000066757202,2.9000000953674316,2.9000000953674316,2.9000000953674316,4528626,0.0,0.0,2024-08-18,5d,1h
2024-08-13 09:30:00-04:00,2.9100000858306885,3.049999952316284,2.9100000858306885,3.0099000930786133,3.0099000930786133,6946964,0.0,0.0,2024-08-18,5d,1h
2024-08-13 10:30:00-04:00,3.009999990463257,3.049999952316284,2.994999885559082,3.030100107192993,3.030100107192993,4080203,0.0,0.0,2024-08-18,5d,1h
2024-08-13 11:30:00-04:00,3.0339999198913574,3.069999933242798,3.0299999713897705,3.049999952316284,3.049999952316284,4176930,0.0,0.0,2024-08-18,5d,1h
2024-08-13 12:30:00-04:00,3.055000066757202,3.0799999237060547,3.0299999713897705,3.040299892425537,3.040299892425537,3745910,0.0,0.0,2024-08-18,5d,1h
2024-08-13 13:30:00-04:00,3.0450000762939453,3.049999952316284,3.0,3.0225000381469727,3.0225000381469727,3978138,0.0,0.0,2024-08-18,5d,1h
2024-08-13 14:30:00-04:00,3.0250000953674316,3.049999952316284,3.009999990463257,3.0450000762939453,3.0450000762939453,2390677,0.0,0.0,2024-08-18,5d,1h
2024-08-13 15:30:00-04:00,3.0450000762939453,3.0799999237060547,3.0350000858306885,3.065000057220459,3.065000057220459,2675754,0.0,0.0,2024-08-18,5d,1h
2024-08-14 09:30:00-04:00,3.069999933242798,3.109999895095825,3.009999990463257,3.015000104904175,3.015000104904175,4622169,0.0,0.0,2024-08-18,5d,1h
2024-08-14 10:30:00-04:00,3.015000104904175,3.059999942779541,3.009999990463257,3.0399999618530273,3.0399999618530273,5109257,0.0,0.0,2024-08-18,5d,1h
2024-08-14 11:30:00-04:00,3.0399999618530273,3.0999999046325684,3.0299999713897705,3.075000047683716,3.075000047683716,4788459,0.0,0.0,2024-08-18,5d,1h
2024-08-14 12:30:00-04:00,3.079900026321411,3.140000104904175,3.055000066757202,3.140000104904175,3.140000104904175,5367266,0.0,0.0,2024-08-18,5d,1h
2024-08-14 13:30:00-04:00,3.1364998817443848,3.1600000858306885,3.114000082015991,3.1424999237060547,3.1424999237060547,3756748,0.0,0.0,2024-08-18,5d,1h
2024-08-14 14:30:00-04:00,3.1449999809265137,3.1600000858306885,3.130000114440918,3.130000114440918,3.130000114440918,2744513,0.0,0.0,2024-08-18,5d,1h
2024-08-14 15:30:00-04:00,3.1303000450134277,3.1500000953674316,3.119999885559082,3.134999990463257,3.134999990463257,2582934,0.0,0.0,2024-08-18,5d,1h
2024-08-15 09:30:00-04:00,3.200000047683716,3.299999952316284,3.180000066757202,3.253499984741211,3.253499984741211,8019447,0.0,0.0,2024-08-18,5d,1h
2024-08-15 10:30:00-04:00,3.251499891281128,3.255000114440918,3.200000047683716,3.2049999237060547,3.2049999237060547,4016934,0.0,0.0,2024-08-18,5d,1h
2024-08-15 11:30:00-04:00,3.2000999450683594,3.259999990463257,3.200000047683716,3.2149999141693115,3.2149999141693115,2639232,0.0,0.0,2024-08-18,5d,1h
2024-08-15 12:30:00-04:00,3.2200000286102295,3.240000009536743,3.200000047683716,3.210099935531616,3.210099935531616,3051943,0.0,0.0,2024-08-18,5d,1h
2024-08-15 13:30:00-04:00,3.2137999534606934,3.2300000190734863,3.190000057220459,3.1942999362945557,3.1942999362945557,2145278,0.0,0.0,2024-08-18,5d,1h
2024-08-15 14:30:00-04:00,3.1947999000549316,3.218899965286255,3.180000066757202,3.2049999237060547,3.2049999237060547,2204947,0.0,0.0,2024-08-18,5d,1h
2024-08-15 15:30:00-04:00,3.2049999237060547,3.2100000381469727,3.180000066757202,3.180000066757202,3.180000066757202,1702005,0.0,0.0,2024-08-18,5d,1h
2024-08-16 09:30:00-04:00,3.240000009536743,3.2799999713897705,3.2100000381469727,3.2249999046325684,3.2249999046325684,4770866,0.0,0.0,2024-08-18,5d,1h
2024-08-16 10:30:00-04:00,3.220099925994873,3.25,3.1600000858306885,3.1649999618530273,3.1649999618530273,4402051,0.0,0.0,2024-08-18,5d,1h
2024-08-16 11:30:00-04:00,3.1689999103546143,3.194999933242798,3.1500000953674316,3.1649999618530273,3.1649999618530273,5483011,0.0,0.0,2024-08-18,5d,1h
2024-08-16 12:30:00-04:00,3.1600000858306885,3.1700000762939453,3.140000104904175,3.1637001037597656,3.1637001037597656,2682068,0.0,0.0,2024-08-18,5d,1h
2024-08-16 13:30:00-04:00,3.1649999618530273,3.190000057220459,3.119999885559082,3.125999927520752,3.125999927520752,3158181,0.0,0.0,2024-08-18,5d,1h
2024-08-16 14:30:00-04:00,3.125,3.1500000953674316,3.119999885559082,3.1449999809265137,3.1449999809265137,1518990,0.0,0.0,2024-08-18,5d,1h
2024-08-16 15:30:00-04:00,3.1449999809265137,3.1500000953674316,3.130000114440918,3.1500000953674316,3.1500000953674316,1674673,0.0,0.0,2024-08-18,5d,1h
