Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-08-12 09:30:00-04:00,517.0,518.02001953125,511.79998779296875,514.02001953125,514.02001953125,2557501,0.0,0.0,2024-08-18,5d,1h
2024-08-12 10:30:00-04:00,514.280029296875,516.2899780273438,509.1199951171875,512.1898803710938,512.1898803710938,1430840,0.0,0.0,2024-08-18,5d,1h
2024-08-12 11:30:00-04:00,512.1480102539062,516.4199829101562,510.8599853515625,515.110107421875,515.110107421875,1119735,0.0,0.0,2024-08-18,5d,1h
2024-08-12 12:30:00-04:00,515.239990234375,516.5599975585938,513.86669921875,515.08349609375,515.08349609375,738281,0.0,0.0,2024-08-18,5d,1h
2024-08-12 13:30:00-04:00,515.2100219726562,515.530029296875,513.5700073242188,515.0800170898438,515.0800170898438,764714,0.0,0.0,2024-08-18,5d,1h
2024-08-12 14:30:00-04:00,515.0103759765625,516.0599975585938,514.3400268554688,514.4099731445312,514.4099731445312,695453,0.0,0.0,2024-08-18,5d,1h
2024-08-12 15:30:00-04:00,514.47998046875,516.2899780273438,514.343017578125,515.9600219726562,515.9600219726562,1019826,0.0,0.0,2024-08-18,5d,1h
2024-08-13 09:30:00-04:00,520.0,526.6400146484375,518.85498046875,523.2072143554688,523.2072143554688,3274840,0.0,0.0,2024-08-18,5d,1h
2024-08-13 10:30:00-04:00,523.22998046875,526.0,521.1099853515625,525.0,525.0,1551511,0.0,0.0,2024-08-18,5d,1h
2024-08-13 11:30:00-04:00,525.001708984375,526.7100219726562,524.7203979492188,526.280029296875,526.280029296875,1173921,0.0,0.0,2024-08-18,5d,1h
2024-08-13 12:30:00-04:00,526.280029296875,531.4998779296875,525.8099975585938,529.219970703125,529.219970703125,2182040,0.0,0.0,2024-08-18,5d,1h
2024-08-13 13:30:00-04:00,529.219970703125,529.5999755859375,526.2000122070312,526.989990234375,526.989990234375,1518014,0.0,0.0,2024-08-18,5d,1h
2024-08-13 14:30:00-04:00,526.9600219726562,527.9600219726562,526.3300170898438,527.280029296875,527.280029296875,987750,0.0,0.0,2024-08-18,5d,1h
2024-08-13 15:30:00-04:00,527.2899780273438,529.1500244140625,527.0499877929688,528.5599975585938,528.5599975585938,1425858,0.0,0.0,2024-08-18,5d,1h
2024-08-14 09:30:00-04:00,530.1500244140625,534.0,527.27001953125,528.47998046875,528.47998046875,2956685,0.0,0.0,2024-08-18,5d,1h
2024-08-14 10:30:00-04:00,528.3499755859375,531.6900024414062,525.52001953125,531.3536987304688,531.3536987304688,1317885,0.0,0.0,2024-08-18,5d,1h
2024-08-14 11:30:00-04:00,531.4500122070312,533.7999877929688,528.1599731445312,528.6199951171875,528.6199951171875,1054702,0.0,0.0,2024-08-18,5d,1h
2024-08-14 12:30:00-04:00,528.5650024414062,528.6998901367188,524.6099853515625,526.0650024414062,526.0650024414062,1178358,0.0,0.0,2024-08-18,5d,1h
2024-08-14 13:30:00-04:00,526.1400146484375,526.6900024414062,524.8099975585938,526.219970703125,526.219970703125,934018,0.0,0.0,2024-08-18,5d,1h
2024-08-14 14:30:00-04:00,526.219970703125,526.4299926757812,523.2999877929688,524.1500244140625,524.1500244140625,769687,0.0,0.0,2024-08-18,5d,1h
2024-08-14 15:30:00-04:00,524.0900268554688,527.5,523.1300048828125,526.3400268554688,526.3400268554688,1056552,0.0,0.0,2024-08-18,5d,1h
2024-08-15 09:30:00-04:00,531.7999877929688,537.939697265625,526.7000122070312,537.6599731445312,537.6599731445312,3387733,0.0,0.0,2024-08-18,5d,1h
2024-08-15 10:30:00-04:00,537.8403930664062,539.719970703125,537.25,538.1688232421875,538.1688232421875,1850409,0.0,0.0,2024-08-18,5d,1h
2024-08-15 11:30:00-04:00,538.2100219726562,539.4600219726562,536.6699829101562,539.22998046875,539.22998046875,1100107,0.0,0.0,2024-08-18,5d,1h
2024-08-15 12:30:00-04:00,539.2000122070312,539.2100219726562,537.2000732421875,537.4299926757812,537.4299926757812,893881,0.0,0.0,2024-08-18,5d,1h
2024-08-15 13:30:00-04:00,537.4000244140625,537.780029296875,536.0499877929688,536.72998046875,536.72998046875,1078205,0.0,0.0,2024-08-18,5d,1h
2024-08-15 14:30:00-04:00,536.7349853515625,538.5,536.6599731445312,537.25,537.25,1202511,0.0,0.0,2024-08-18,5d,1h
2024-08-15 15:30:00-04:00,537.1599731445312,538.239990234375,536.4099731445312,537.3099975585938,537.3099975585938,1523377,0.0,0.0,2024-08-18,5d,1h
2024-08-16 09:30:00-04:00,531.0599975585938,533.6500244140625,528.25,529.0349731445312,529.0349731445312,5166581,0.0,0.0,2024-08-18,5d,1h
2024-08-16 10:30:00-04:00,529.0399780273438,530.010009765625,524.6600952148438,526.030029296875,526.030029296875,2090355,0.0,0.0,2024-08-18,5d,1h
2024-08-16 11:30:00-04:00,525.9633178710938,530.5,525.8900756835938,529.9849853515625,529.9849853515625,1618639,0.0,0.0,2024-08-18,5d,1h
2024-08-16 12:30:00-04:00,529.989990234375,530.1724853515625,528.6099853515625,529.89208984375,529.89208984375,867602,0.0,0.0,2024-08-18,5d,1h
2024-08-16 13:30:00-04:00,529.8400268554688,530.25,527.9500122070312,528.4962158203125,528.4962158203125,1009351,0.0,0.0,2024-08-18,5d,1h
2024-08-16 14:30:00-04:00,528.6799926757812,529.4400024414062,527.5800170898438,528.9149780273438,528.9149780273438,1053553,0.0,0.0,2024-08-18,5d,1h
2024-08-16 15:30:00-04:00,528.9299926757812,529.1199951171875,527.1599731445312,527.4199829101562,527.4199829101562,1165949,0.0,0.0,2024-08-18,5d,1h
