Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-08-12 09:30:00-04:00,164.57000732421875,164.80999755859375,163.98500061035156,164.2100067138672,164.2100067138672,789681,0.0,0.0,2024-08-18,5d,5m
2024-08-12 09:35:00-04:00,164.2100067138672,164.89999389648438,164.17999267578125,164.49000549316406,164.49000549316406,392258,0.0,0.0,2024-08-18,5d,5m
2024-08-12 09:40:00-04:00,164.47999572753906,164.5,163.53500366210938,163.67999267578125,163.67999267578125,255476,0.0,0.0,2024-08-18,5d,5m
2024-08-12 09:45:00-04:00,163.6699981689453,163.7899932861328,163.27000427246094,163.52000427246094,163.52000427246094,210824,0.0,0.0,2024-08-18,5d,5m
2024-08-12 09:50:00-04:00,163.5,163.71499633789062,163.1300048828125,163.32000732421875,163.32000732421875,259164,0.0,0.0,2024-08-18,5d,5m
2024-08-12 09:55:00-04:00,163.3249969482422,163.5800018310547,163.11000061035156,163.32000732421875,163.32000732421875,186410,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:00:00-04:00,163.3699951171875,163.6300048828125,163.1699981689453,163.30679321289062,163.30679321289062,167082,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:05:00-04:00,163.30999755859375,163.6999969482422,163.22000122070312,163.63999938964844,163.63999938964844,161648,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:10:00-04:00,163.6199951171875,163.6699981689453,163.10000610351562,163.18499755859375,163.18499755859375,165556,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:15:00-04:00,163.22999572753906,163.5399932861328,163.1300048828125,163.50999450683594,163.50999450683594,198941,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:20:00-04:00,163.51010131835938,163.52499389648438,163.26499938964844,163.27499389648438,163.27499389648438,211468,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:25:00-04:00,163.27999877929688,163.57000732421875,163.25,163.57000732421875,163.57000732421875,156819,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:30:00-04:00,163.60000610351562,163.66000366210938,163.3300018310547,163.57000732421875,163.57000732421875,171463,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:35:00-04:00,163.55999755859375,163.69000244140625,163.44000244140625,163.57000732421875,163.57000732421875,125762,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:40:00-04:00,163.5800018310547,163.7086944580078,163.52000427246094,163.52999877929688,163.52999877929688,129708,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:45:00-04:00,163.5500030517578,163.6999969482422,163.44000244140625,163.60000610351562,163.60000610351562,135847,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:50:00-04:00,163.58999633789062,163.69000244140625,163.50999450683594,163.66000366210938,163.66000366210938,124420,0.0,0.0,2024-08-18,5d,5m
2024-08-12 10:55:00-04:00,163.65499877929688,163.88999938964844,163.51499938964844,163.88999938964844,163.88999938964844,121051,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:00:00-04:00,163.8699951171875,163.9600067138672,163.72999572753906,163.77999877929688,163.77999877929688,111959,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:05:00-04:00,163.7899932861328,163.7899932861328,163.52999877929688,163.55999755859375,163.55999755859375,172984,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:10:00-04:00,163.5500030517578,163.6699981689453,163.44500732421875,163.4600067138672,163.4600067138672,149560,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:15:00-04:00,163.49989318847656,163.5,163.27000427246094,163.27999877929688,163.27999877929688,161185,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:20:00-04:00,163.2899932861328,163.2899932861328,162.14999389648438,162.1699981689453,162.1699981689453,324214,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:25:00-04:00,162.1699981689453,162.52000427246094,162.11000061035156,162.36000061035156,162.36000061035156,258796,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:30:00-04:00,162.36000061035156,162.44000244140625,162.1699981689453,162.3350067138672,162.3350067138672,219692,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:35:00-04:00,162.3300018310547,162.58999633789062,162.27000427246094,162.5500030517578,162.5500030517578,183963,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:40:00-04:00,162.55999755859375,162.82000732421875,162.52000427246094,162.79379272460938,162.79379272460938,132914,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:45:00-04:00,162.7899932861328,162.91000366210938,162.61000061035156,162.88999938964844,162.88999938964844,136272,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:50:00-04:00,162.8800048828125,163.11500549316406,162.86000061035156,163.09500122070312,163.09500122070312,99046,0.0,0.0,2024-08-18,5d,5m
2024-08-12 11:55:00-04:00,163.0749969482422,163.41000366210938,163.0449981689453,163.40989685058594,163.40989685058594,109691,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:00:00-04:00,163.4199981689453,163.57000732421875,163.33999633789062,163.4001007080078,163.4001007080078,103813,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:05:00-04:00,163.42999267578125,163.57000732421875,163.30999755859375,163.57000732421875,163.57000732421875,154160,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:10:00-04:00,163.5500030517578,163.60000610351562,163.27000427246094,163.47000122070312,163.47000122070312,96956,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:15:00-04:00,163.44000244140625,163.4499969482422,163.25,163.27049255371094,163.27049255371094,95048,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:20:00-04:00,163.2899932861328,163.3800048828125,163.22000122070312,163.36000061035156,163.36000061035156,95944,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:25:00-04:00,163.3699951171875,163.3800048828125,163.17999267578125,163.30999755859375,163.30999755859375,108906,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:30:00-04:00,163.3000030517578,163.3800048828125,163.24000549316406,163.24000549316406,163.24000549316406,91425,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:35:00-04:00,163.2449951171875,163.4499969482422,163.19000244140625,163.4499969482422,163.4499969482422,99675,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:40:00-04:00,163.4550018310547,163.5850067138672,163.35000610351562,163.52000427246094,163.52000427246094,122101,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:45:00-04:00,163.52000427246094,163.60000610351562,163.39129638671875,163.41000366210938,163.41000366210938,66640,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:50:00-04:00,163.39999389648438,163.4073944091797,163.2100067138672,163.25,163.25,65506,0.0,0.0,2024-08-18,5d,5m
2024-08-12 12:55:00-04:00,163.2899932861328,163.2899932861328,162.6699981689453,162.6699981689453,162.6699981689453,125514,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:00:00-04:00,162.6699981689453,162.69000244140625,162.4250030517578,162.66000366210938,162.66000366210938,116652,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:05:00-04:00,162.64999389648438,162.8699951171875,162.6199951171875,162.7100067138672,162.7100067138672,76711,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:10:00-04:00,162.7050018310547,162.77999877929688,162.57000732421875,162.7205047607422,162.7205047607422,118093,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:15:00-04:00,162.7100067138672,163.0050048828125,162.64999389648438,163.0050048828125,163.0050048828125,132577,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:20:00-04:00,163.0,163.22000122070312,162.98019409179688,163.08999633789062,163.08999633789062,76771,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:25:00-04:00,163.08999633789062,163.08999633789062,162.8000030517578,162.85000610351562,162.85000610351562,70557,0.0,0.0,2024-08-18,5d,5m
2024-08-12 13:30:00-04:00,162.8800048828125,162.99000549316406,162.7899932861328,162.8800048828125,162.8800048828125,50939,0.0,0.0,2024-08-18,5d,5m
