Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-08-12 09:30:00-04:00,135.10000610351562,137.9600067138672,133.22999572753906,137.19500732421875,137.19500732421875,16611359,0.0,0.0,2024-08-18,5d,90m
2024-08-12 11:00:00-04:00,137.22000122070312,137.98500061035156,135.2156982421875,136.89999389648438,136.89999389648438,8132531,0.0,0.0,2024-08-18,5d,90m
2024-08-12 12:30:00-04:00,136.8800048828125,137.49000549316406,135.75,136.52499389648438,136.52499389648438,6232606,0.0,0.0,2024-08-18,5d,90m
2024-08-12 14:00:00-04:00,136.52499389648438,136.88999938964844,136.13070678710938,136.61500549316406,136.61500549316406,3659654,0.0,0.0,2024-08-18,5d,90m
2024-08-12 15:30:00-04:00,136.610107421875,137.14990234375,136.1649932861328,136.7899932861328,136.7899932861328,2986098,0.0,0.0,2024-08-18,5d,90m
2024-08-13 09:30:00-04:00,138.1199951171875,140.6999053955078,137.8300018310547,139.61000061035156,139.61000061035156,15475554,0.0,0.0,2024-08-18,5d,90m
2024-08-13 11:00:00-04:00,139.62399291992188,140.6999969482422,139.10000610351562,139.88299560546875,139.88299560546875,8325311,0.0,0.0,2024-08-18,5d,90m
2024-08-13 12:30:00-04:00,139.889892578125,141.0,139.44000244140625,140.6699981689453,140.6699981689453,6303776,0.0,0.0,2024-08-18,5d,90m
2024-08-13 14:00:00-04:00,140.64549255371094,140.89999389648438,140.02000427246094,140.44009399414062,140.44009399414062,4302411,0.0,0.0,2024-08-18,5d,90m
2024-08-13 15:30:00-04:00,140.45989990234375,141.19000244140625,140.35000610351562,141.17999267578125,141.17999267578125,4192418,0.0,0.0,2024-08-18,5d,90m
2024-08-14 09:30:00-04:00,143.0,143.2299041748047,137.63999938964844,139.97000122070312,139.97000122070312,16013651,0.0,0.0,2024-08-18,5d,90m
2024-08-14 11:00:00-04:00,139.97999572753906,140.77000427246094,139.25999450683594,139.25999450683594,139.25999450683594,6314705,0.0,0.0,2024-08-18,5d,90m
2024-08-14 12:30:00-04:00,139.25999450683594,139.9250030517578,138.7906036376953,139.6898956298828,139.6898956298828,4144340,0.0,0.0,2024-08-18,5d,90m
2024-08-14 14:00:00-04:00,139.67999267578125,140.34840393066406,139.44000244140625,139.93800354003906,139.93800354003906,3495427,0.0,0.0,2024-08-18,5d,90m
2024-08-14 15:30:00-04:00,139.9600067138672,140.91000366210938,139.7299041748047,140.7100067138672,140.7100067138672,2848103,0.0,0.0,2024-08-18,5d,90m
2024-08-15 09:30:00-04:00,141.81759643554688,146.3300018310547,141.81759643554688,145.15480041503906,145.15480041503906,15195545,0.0,0.0,2024-08-18,5d,90m
2024-08-15 11:00:00-04:00,145.1199951171875,147.22000122070312,144.86000061035156,147.19020080566406,147.19020080566406,7865246,0.0,0.0,2024-08-18,5d,90m
2024-08-15 12:30:00-04:00,147.1999969482422,147.52000427246094,146.4199981689453,147.5,147.5,5696293,0.0,0.0,2024-08-18,5d,90m
2024-08-15 14:00:00-04:00,147.5,147.6999969482422,146.75,147.36920166015625,147.36920166015625,5361035,0.0,0.0,2024-08-18,5d,90m
2024-08-15 15:30:00-04:00,147.36000061035156,147.9550018310547,147.10000610351562,147.3800048828125,147.3800048828125,4664025,0.0,0.0,2024-08-18,5d,90m
2024-08-16 09:30:00-04:00,145.6999969482422,149.36929321289062,145.2100067138672,148.05999755859375,148.05999755859375,13314581,0.0,0.0,2024-08-18,5d,90m
2024-08-16 11:00:00-04:00,148.0301055908203,148.92999267578125,147.39010620117188,148.84579467773438,148.84579467773438,5941904,0.0,0.0,2024-08-18,5d,90m
2024-08-16 12:30:00-04:00,148.8300018310547,149.3000030517578,148.5800018310547,148.9499969482422,148.9499969482422,4234363,0.0,0.0,2024-08-18,5d,90m
2024-08-16 14:00:00-04:00,148.92999267578125,149.18499755859375,148.47999572753906,148.61500549316406,148.61500549316406,3020725,0.0,0.0,2024-08-18,5d,90m
2024-08-16 15:30:00-04:00,148.61599731445312,148.85000610351562,148.24000549316406,148.55999755859375,148.55999755859375,2667024,0.0,0.0,2024-08-18,5d,90m
