Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-02-22 00:00:00-05:00,11.979999542236328,12.25,11.0600004196167,11.449999809265137,11.449999809265137,191810400,0.0,0.0,2024-08-18,6mo,5d
2024-02-27 00:00:00-05:00,10.970000267028809,11.25,10.5600004196167,11.140000343322754,11.140000343322754,62590400,0.0,0.0,2024-08-18,6mo,5d
2024-03-08 00:00:00-05:00,13.130000114440918,13.640000343322754,12.425000190734863,12.779999732971191,12.779999732971191,107959200,0.0,0.0,2024-08-18,6mo,5d
2024-03-13 00:00:00-04:00,11.949999809265137,12.369999885559082,11.645000457763672,11.710000038146973,11.710000038146973,37043000,0.0,0.0,2024-08-18,6mo,5d
2024-03-18 00:00:00-04:00,11.1899995803833,11.5600004196167,10.760000228881836,11.399999618530273,11.399999618530273,39248400,0.0,0.0,2024-08-18,6mo,5d
2024-03-28 00:00:00-04:00,10.880000114440918,11.494999885559082,10.880000114440918,10.949999809265137,10.949999809265137,43231900,0.0,0.0,2024-08-18,6mo,5d
2024-04-02 00:00:00-04:00,10.770000457763672,10.800000190734863,10.260000228881836,10.510000228881836,10.510000228881836,43195000,0.0,0.0,2024-08-18,6mo,5d
2024-04-12 00:00:00-04:00,9.479999542236328,9.510000228881836,9.079999923706055,9.130000114440918,9.130000114440918,57663100,0.0,0.0,2024-08-18,6mo,5d
2024-04-17 00:00:00-04:00,8.75,9.010000228881836,8.729999542236328,8.739999771118164,8.739999771118164,32606900,0.0,0.0,2024-08-18,6mo,5d
2024-04-22 00:00:00-04:00,8.460000038146973,8.859999656677246,8.3149995803833,8.789999961853027,8.789999961853027,35054900,0.0,0.0,2024-08-18,6mo,5d
2024-05-02 00:00:00-04:00,9.420000076293945,10.130000114440918,9.21500015258789,9.829999923706055,9.829999923706055,54894000,0.0,0.0,2024-08-18,6mo,5d
2024-05-07 00:00:00-04:00,11.140000343322754,11.21500015258789,10.069999694824219,10.25,10.25,98119500,0.0,0.0,2024-08-18,6mo,5d
2024-05-17 00:00:00-04:00,10.069999694824219,10.510000228881836,9.890000343322754,10.5,10.5,23884000,0.0,0.0,2024-08-18,6mo,5d
2024-05-22 00:00:00-04:00,10.020000457763672,10.739999771118164,9.9399995803833,10.699999809265137,10.699999809265137,37629900,0.0,0.0,2024-08-18,6mo,5d
2024-06-06 00:00:00-04:00,11.270000457763672,11.8100004196167,11.145000457763672,11.739999771118164,11.739999771118164,28721400,0.0,0.0,2024-08-18,6mo,5d
2024-06-11 00:00:00-04:00,11.760000228881836,11.899999618530273,11.520000457763672,11.829999923706055,11.829999923706055,18333600,0.0,0.0,2024-08-18,6mo,5d
2024-06-21 00:00:00-04:00,10.329999923706055,10.430000305175781,10.149999618530273,10.319999694824219,10.319999694824219,33064000,0.0,0.0,2024-08-18,6mo,5d
2024-06-26 00:00:00-04:00,16.329999923706055,16.350000381469727,14.170000076293945,14.739999771118164,14.739999771118164,261980400,0.0,0.0,2024-08-18,6mo,5d
2024-07-01 00:00:00-04:00,13.460000038146973,14.510000228881836,13.3100004196167,13.920000076293945,13.920000076293945,74020600,0.0,0.0,2024-08-18,6mo,5d
2024-07-11 00:00:00-04:00,16.760000228881836,17.229999542236328,16.329999923706055,16.760000228881836,16.760000228881836,59239100,0.0,0.0,2024-08-18,6mo,5d
2024-07-16 00:00:00-04:00,17.719999313354492,18.350000381469727,17.270000457763672,17.940000534057617,17.940000534057617,43966200,0.0,0.0,2024-08-18,6mo,5d
2024-07-26 00:00:00-04:00,16.31999969482422,16.899999618530273,16.139999389648438,16.209999084472656,16.209999084472656,21540000,0.0,0.0,2024-08-18,6mo,5d
2024-07-31 00:00:00-04:00,16.360000610351562,17.049999237060547,16.34000015258789,16.40999984741211,16.40999984741211,27488600,0.0,0.0,2024-08-18,6mo,5d
2024-08-05 00:00:00-04:00,12.960000038146973,15.050000190734863,12.960000038146973,14.609999656677246,14.609999656677246,38816900,0.0,0.0,2024-08-18,6mo,5d
2024-08-15 00:00:00-04:00,13.029999732971191,14.130000114440918,12.920000076293945,13.210000038146973,13.210000038146973,76241074,0.0,0.0,2024-08-18,6mo,5d
