Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
1985-01-01 00:00:00-05:00,1.2942709922790527,1.4635419845581055,1.2395830154418945,1.4583330154418945,0.554230272769928,970180800,0.015417,0.0,2024-08-18,max,3mo
1985-04-01 00:00:00-05:00,1.4583330154418945,1.5052080154418945,1.375,1.4453129768371582,0.5554986596107483,1125571200,0.015417,0.0,2024-08-18,max,3mo
1985-07-01 00:00:00-04:00,1.4453129768371582,1.5598959922790527,1.4010419845581055,1.453125,0.5645783543586731,1129545600,0.015417,0.0,2024-08-18,max,3mo
1985-10-01 00:00:00-04:00,1.453125,1.8385419845581055,1.4401040077209473,1.7604169845581055,0.6913847923278809,945057600,0.015417,0.0,2024-08-18,max,3mo
1986-01-01 00:00:00-05:00,1.7604169845581055,2.2916669845581055,1.5989580154418945,2.1927080154418945,0.8689930438995361,895272000,0.01625,0.0,2024-08-18,max,3mo
1986-04-01 00:00:00-05:00,2.1875,2.6145830154418945,2.0520830154418945,2.6145830154418945,1.0444352626800537,1136865600,0.01625,0.0,2024-08-18,max,3mo
1986-07-01 00:00:00-04:00,2.742187976837158,2.804687976837158,2.054687976837158,2.117187976837158,0.8515704870223999,932284800,0.01625,3.0,2024-08-18,max,3mo
1986-10-01 00:00:00-04:00,2.117187976837158,2.476562976837158,2.109375,2.359375,0.9557437300682068,779777600,0.01625,0.0,2024-08-18,max,3mo
1987-01-01 00:00:00-05:00,2.359375,3.0625,2.359375,2.859375,1.1666244268417358,1025896000,0.0175,0.0,2024-08-18,max,3mo
1987-04-01 00:00:00-05:00,2.859375,2.9375,2.382812976837158,2.78125,1.1418346166610718,874715200,0.0175,0.0,2024-08-18,max,3mo
1987-07-01 00:00:00-04:00,2.765625,3.320312976837158,2.679687976837158,3.023437976837158,1.2493051290512085,947212800,0.0175,0.0,2024-08-18,max,3mo
1987-10-01 00:00:00-04:00,3.039062976837158,3.109375,1.8125,2.382812976837158,0.9902245402336121,910084800,0.0175,0.0,2024-08-18,max,3mo
1988-01-01 00:00:00-05:00,2.398437976837158,2.53125,2.1875,2.390625,1.0006550550460815,667160000,0.01875,0.0,2024-08-18,max,3mo
1988-04-01 00:00:00-05:00,2.382812976837158,2.507812976837158,2.1875,2.4375,1.0282889604568481,642761600,0.01875,0.0,2024-08-18,max,3mo
1988-07-01 00:00:00-04:00,2.429687976837158,2.773437976837158,2.265625,2.734375,1.162413239479065,721446400,0.01875,0.0,2024-08-18,max,3mo
1988-10-01 00:00:00-04:00,2.71875,2.828125,2.554687976837158,2.789062976837158,1.1941921710968018,563457600,0.01875,0.0,2024-08-18,max,3mo
1989-01-01 00:00:00-05:00,2.773437976837158,3.242187976837158,2.710937976837158,3.203125,1.3811159133911133,666025600,0.02125,0.0,2024-08-18,max,3mo
1989-04-01 00:00:00-05:00,3.203125,3.757812976837158,3.15625,3.523437976837158,1.5296831130981445,610411200,0.02125,0.0,2024-08-18,max,3mo
1989-07-01 00:00:00-04:00,3.523437976837158,4.328125,3.5,4.1875,1.8287944793701172,587124800,0.02125,0.0,2024-08-18,max,3mo
1989-10-01 00:00:00-04:00,4.1875,5.0625,3.867187976837158,4.828125,2.119877815246582,610976000,0.02125,0.0,2024-08-18,max,3mo
1990-01-01 00:00:00-05:00,4.828125,4.875,4.078125,4.671875,2.0602128505706787,600904000,0.025,0.0,2024-08-18,max,3mo
1990-04-01 00:00:00-05:00,4.671875,5.859375,4.640625,5.546875,2.4596643447875977,566078400,0.025,2.0,2024-08-18,max,3mo
1990-07-01 00:00:00-04:00,5.546875,6.046875,4.65625,4.9375,2.1993887424468994,464192800,0.025,0.0,2024-08-18,max,3mo
1990-10-01 00:00:00-04:00,4.984375,6.125,4.96875,5.8125,2.6015067100524902,454280000,0.025,0.0,2024-08-18,max,3mo
1991-01-01 00:00:00-05:00,5.796875,6.9375,5.328125,6.78125,3.04841685295105,485071200,0.03,0.0,2024-08-18,max,3mo
1991-04-01 00:00:00-05:00,6.78125,7.25,6.421875,6.8125,3.0765974521636963,417427200,0.03,0.0,2024-08-18,max,3mo
1991-07-01 00:00:00-04:00,6.8125,8.3125,6.8125,8.0625,3.6571028232574463,365848800,0.03,0.0,2024-08-18,max,3mo
1991-10-01 00:00:00-04:00,8.109375,10.21875,7.796875,10.03125,4.5669474601745605,378440000,0.03,0.0,2024-08-18,max,3mo
1992-01-01 00:00:00-05:00,10.03125,10.421875,8.890625,10.21875,4.6686110496521,514346400,0.035,0.0,2024-08-18,max,3mo
1992-04-01 00:00:00-05:00,10.21875,11.28125,9.71875,10.0,4.58494758605957,436787200,0.035,2.0,2024-08-18,max,3mo
1992-07-01 00:00:00-04:00,10.0,11.34375,9.9375,10.125,4.657203674316406,337857600,0.035,0.0,2024-08-18,max,3mo
1992-10-01 00:00:00-04:00,10.125,11.125,9.125,10.46875,4.830821990966797,388898400,0.035,0.0,2024-08-18,max,3mo
1993-01-01 00:00:00-05:00,10.46875,11.03125,10.0,10.65625,4.934296607971191,340442000,0.0425,0.0,2024-08-18,max,3mo
1993-04-01 00:00:00-05:00,10.65625,10.90625,9.375,10.75,4.9971232414245605,444642000,0.0425,0.0,2024-08-18,max,3mo
1993-07-01 00:00:00-04:00,10.75,11.1875,10.4375,10.5625,4.930593013763428,314562000,0.0425,0.0,2024-08-18,max,3mo
1993-10-01 00:00:00-04:00,10.5625,11.28125,10.0,11.15625,5.228370666503906,343110400,0.0425,0.0,2024-08-18,max,3mo
1994-01-01 00:00:00-05:00,11.15625,11.1875,10.03125,10.15625,4.7789506912231445,410925600,0.04875,0.0,2024-08-18,max,3mo
1994-04-01 00:00:00-05:00,10.15625,10.59375,9.71875,10.15625,4.801788330078125,397349600,0.04875,0.0,2024-08-18,max,3mo
1994-07-01 00:00:00-04:00,10.25,12.5,10.25,12.15625,5.774260520935059,401846400,0.04875,0.0,2024-08-18,max,3mo
1994-10-01 00:00:00-04:00,12.15625,13.375,12.0,12.875,6.141636371612549,393525600,0.04875,0.0,2024-08-18,max,3mo
1995-01-01 00:00:00-05:00,12.875,14.84375,12.1875,14.09375,6.748426914215088,408509200,0.055,0.0,2024-08-18,max,3mo
1995-04-01 00:00:00-05:00,14.09375,16.5,14.03125,15.9375,7.6616339683532715,399394800,0.055,0.0,2024-08-18,max,3mo
1995-07-01 00:00:00-04:00,15.9375,17.65625,15.65625,17.25,8.322983741760254,368070000,0.055,0.0,2024-08-18,max,3mo
1995-10-01 00:00:00-04:00,17.25,20.09375,17.09375,18.5625,8.986846923828125,404298800,0.055,0.0,2024-08-18,max,3mo
1996-01-01 00:00:00-05:00,18.5625,21.34375,18.03125,20.6875,10.044957160949707,431186400,0.0625,0.0,2024-08-18,max,3mo
1996-04-01 00:00:00-05:00,20.78125,24.75,19.5625,24.5,11.932863235473633,447509000,0.0625,2.0,2024-08-18,max,3mo
1996-07-01 00:00:00-04:00,24.5,26.9375,22.125,25.4375,12.422516822814941,342740000,0.0625,0.0,2024-08-18,max,3mo
1996-10-01 00:00:00-04:00,25.4375,27.125,23.4375,26.3125,12.880565643310547,384505000,0.0625,0.0,2024-08-18,max,3mo
1997-01-01 00:00:00-05:00,26.25,31.625,25.5625,27.875,13.678727149963379,425088600,0.07,0.0,2024-08-18,max,3mo
1997-04-01 00:00:00-05:00,27.875,36.3125,26.375,34.0,16.72212791442871,397241800,0.07,0.0,2024-08-18,max,3mo
1997-07-01 00:00:00-04:00,34.0,35.96875,27.53125,30.5,15.031509399414062,522232200,0.07,0.0,2024-08-18,max,3mo
1997-10-01 00:00:00-04:00,30.5,33.59375,25.0,33.34375,16.47303009033203,476680200,0.07,0.0,2024-08-18,max,3mo
1998-01-01 00:00:00-05:00,33.34375,39.65625,31.125,38.71875,19.170333862304688,361819400,0.075,0.0,2024-08-18,max,3mo
1998-04-01 00:00:00-05:00,38.71875,43.40625,35.9375,42.75,21.210092544555664,369861600,0.075,0.0,2024-08-18,max,3mo
1998-07-01 00:00:00-04:00,42.75,44.46875,26.8125,28.8125,14.321531295776367,568174000,0.075,0.0,2024-08-18,max,3mo
1998-10-01 00:00:00-04:00,28.5625,37.71875,27.6875,33.5,16.69264793395996,459260800,0.075,0.0,2024-08-18,max,3mo
1999-01-01 00:00:00-05:00,33.5,35.1875,29.78125,30.6875,15.32255744934082,532113200,0.08,0.0,2024-08-18,max,3mo
1999-04-01 00:00:00-05:00,30.6875,35.4375,28.8125,31.0,15.518088340759277,502650400,0.08,0.0,2024-08-18,max,3mo
1999-07-01 00:00:00-04:00,31.0625,32.75,23.96875,24.125,12.10585880279541,490720200,0.08,0.0,2024-08-18,max,3mo
1999-10-01 00:00:00-04:00,24.125,34.5,23.65625,29.125,14.657388687133789,621911200,0.08,0.0,2024-08-18,max,3mo
2000-01-01 00:00:00-05:00,29.0,33.4375,21.4375,23.46875,11.8392972946167,718165800,0.085,0.0,2024-08-18,max,3mo
2000-04-01 00:00:00-05:00,23.625,30.4375,22.375,28.71875,14.542102813720703,688370000,0.085,0.0,2024-08-18,max,3mo
2000-07-01 00:00:00-04:00,28.90625,32.0,24.59375,27.5625,14.001853942871094,528296800,0.085,0.0,2024-08-18,max,3mo
2000-10-01 00:00:00-04:00,27.625,31.6875,26.75,30.46875,15.527573585510254,562381200,0.085,0.0,2024-08-18,max,3mo
2001-01-01 00:00:00-05:00,30.46875,31.09375,21.8799991607666,22.579999923706055,11.539748191833496,613125200,0.09,0.0,2024-08-18,max,3mo
2001-04-01 00:00:00-05:00,22.579999923706055,24.674999237060547,21.184999465942383,22.5,11.540327072143555,541186600,0.09,0.0,2024-08-18,max,3mo
2001-07-01 00:00:00-04:00,22.5,25.350000381469727,21.75,23.424999237060547,12.062050819396973,565023600,0.27,0.0,2024-08-18,max,3mo
2001-10-01 00:00:00-04:00,23.25,25.225000381469727,22.0049991607666,23.575000762939453,12.271639823913574,552282400,0.09,0.0,2024-08-18,max,3mo
2002-01-01 00:00:00-05:00,23.399999618530273,26.34000015258789,21.75,26.1299991607666,13.65281867980957,643435600,0.0,0.0,2024-08-18,max,3mo
2002-04-01 00:00:00-05:00,26.0,28.954999923706055,25.75,28.0,14.690980911254883,574099800,0.0,0.0,2024-08-18,max,3mo
2002-07-01 00:00:00-04:00,28.125,28.75,21.799999237060547,23.979999542236328,12.62855339050293,729281600,0.0,0.0,2024-08-18,max,3mo
2002-10-01 00:00:00-04:00,24.200000762939453,26.549999237060547,21.450000762939453,21.920000076293945,11.589167594909668,770030200,0.0,0.0,2024-08-18,max,3mo
2003-01-01 00:00:00-05:00,22.075000762939453,23.0049991607666,18.5049991607666,20.239999771118164,10.748611450195312,723747000,0.0,0.0,2024-08-18,max,3mo
2003-04-01 00:00:00-05:00,20.25,24.170000076293945,19.5,23.204999923706055,12.395605087280273,676857600,0.0,0.0,2024-08-18,max,3mo
2003-07-01 00:00:00-04:00,23.125,23.31999969482422,21.139999389648438,21.479999542236328,11.528573036193848,667104800,0.0,0.0,2024-08-18,max,3mo
2003-10-01 00:00:00-04:00,21.5,25.450000762939453,21.5,25.375,13.68604850769043,573790200,0.0,0.0,2024-08-18,max,3mo
