Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2004-08-19 00:00:00-04:00,2.502502918243408,2.6041040420532227,2.4014010429382324,2.5110108852386475,2.508132219314575,893181924,0.0,0.0,2024-08-18,max,5d
2004-08-24 00:00:00-04:00,2.7837839126586914,2.792793035507202,2.59184193611145,2.6243739128112793,2.6213653087615967,304946748,0.0,0.0,2024-08-18,max,5d
2004-09-03 00:00:00-04:00,2.526276111602783,2.546046018600464,2.485485076904297,2.5027530193328857,2.4998838901519775,103048848,0.0,0.0,2024-08-18,max,5d
2004-09-08 00:00:00-04:00,2.5210208892822266,2.5783278942108154,2.515014886856079,2.5600600242614746,2.5571253299713135,99712188,0.0,0.0,2024-08-18,max,5d
2004-09-13 00:00:00-04:00,2.6684179306030273,2.712963104248047,2.6641640663146973,2.690190076828003,2.687106132507324,156882960,0.0,0.0,2024-08-18,max,5d
2004-09-23 00:00:00-04:00,2.9739739894866943,3.068819046020508,2.9284279346466064,3.023524045944214,3.0200579166412354,170713116,0.0,0.0,2024-08-18,max,5d
2004-09-28 00:00:00-04:00,3.035536050796509,3.188188076019287,3.008258104324341,3.1746749877929688,3.1710355281829834,338581080,0.0,0.0,2024-08-18,max,5d
2004-10-08 00:00:00-04:00,3.471471071243286,3.495495080947876,3.428929090499878,3.4466969966888428,3.4427456855773926,221390388,0.0,0.0,2024-08-18,max,5d
2004-10-13 00:00:00-04:00,3.5865869522094727,3.592341899871826,3.5055060386657715,3.5260260105133057,3.5219838619232178,395324280,0.0,0.0,2024-08-18,max,5d
2004-10-18 00:00:00-04:00,3.5835840702056885,3.733733892440796,3.5337839126586914,3.7327330112457275,3.7284538745880127,280726992,0.0,0.0,2024-08-18,max,5d
2004-10-28 00:00:00-04:00,4.6716718673706055,4.864614963531494,4.6446452140808105,4.837337017059326,4.831791400909424,593278128,0.0,0.0,2024-08-18,max,5d
2004-11-02 00:00:00-05:00,4.97447395324707,4.986236095428467,4.8383378982543945,4.876626968383789,4.871036529541016,453398148,0.0,0.0,2024-08-18,max,5d
2004-11-12 00:00:00-05:00,4.635385036468506,4.749750137329102,4.439438819885254,4.5545549392700195,4.549333572387695,669174156,0.0,0.0,2024-08-18,max,5d
2004-11-17 00:00:00-05:00,4.229730129241943,4.44194221496582,4.229228973388672,4.316816806793213,4.311868190765381,724590684,0.0,0.0,2024-08-18,max,5d
2004-11-22 00:00:00-05:00,4.115866184234619,4.241742134094238,4.036787033081055,4.131631851196289,4.126895427703857,494233272,0.0,0.0,2024-08-18,max,5d
2004-12-02 00:00:00-05:00,4.502001762390137,4.54229211807251,4.468217849731445,4.4894890785217285,4.484342575073242,250185564,0.0,0.0,2024-08-18,max,5d
2004-12-07 00:00:00-05:00,4.404404163360596,4.409409046173096,4.268017768859863,4.290040016174316,4.285121917724609,274561164,0.0,0.0,2024-08-18,max,5d
2004-12-17 00:00:00-05:00,4.423422813415527,4.517016887664795,4.418168067932129,4.50650691986084,4.501340866088867,295152552,0.0,0.0,2024-08-18,max,5d
2004-12-22 00:00:00-05:00,4.602101802825928,4.675926208496094,4.579830169677734,4.662161827087402,4.656817436218262,156123720,0.0,0.0,2024-08-18,max,5d
2004-12-27 00:00:00-05:00,4.733482837677002,4.837337017059326,4.732232093811035,4.802553176879883,4.7970476150512695,243919836,0.0,0.0,2024-08-18,max,5d
